Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2
AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,56(8),56(8),56(8),,,38(9),49(9),49(9),,,15(7),15(7)
AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,177(1),177(1),177(1),,,696(2),924(2),924(2),,,20(1),20(1)
AIQ,GEN,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,206(2),206(2),206(2),,,119(2),119(2),119(2),,,39(1),39(1)
AIQ,EWS,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,27(1),137(1),137(1),,,139(1),139(1),139(1),,,41(1),41(1)
AIQ,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,13(4),13(4),13(4),,,25(5),25(5),25(5),,,25(5),46(5)
AIQ,OBC,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,116(3),116(3),116(3),,,48(2),48(2),48(2),,,49(2),49(2)
AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,118(2),118(2),118(2),,,51(1),66(1),66(1),,,55(1),55(1)
AIQ,GEN,Maharashtra,"GovtMedColl,ChhatrapatiSambhajiNgr",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1177,517(3),854(3),852(3),2265(1),,471(4),530(4),639(4),,,568(1),63(1)
AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,67(4),75(4),75(4),,,46(2),46(2),46(2),,,73(3),73(3)
AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,93(4),93(4),93(4),,,83(6),93(6),93(6),,,74(5),74(5)
AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,44(4),44(4),44(4),,,39(3),64(3),64(3),,,62(5),75(5)
AIQ,GEN,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,158(2),158(2),158(2),,,172(3),172(3),172(3),,,16(1),76(1)
AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,350(3),564(3),564(3),,,19(1),19(1),19(1),,,79(2),79(2)
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,351(4),351(4),351(4),,,115(4),115(4),435(4),1490(1),,80(2),80(2)
AIQ,EWS,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,137(1),145(1),145(1),,,218(2),218(2),218(2),,,86(1),86(1)
AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,450(1),450(1),450(1),,,367(2),367(2),367(2),,,87(1),87(1)
AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,175(1),175(1),175(1),,,264(2),456(2),456(2),,,89(1),89(1)
AIQ,OBC,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,242(3),336(3),336(3),,,153(2),153(2),153(2),,,94(3),94(3)
AIQ,GEN,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,35(2),35(2),35(2),,,34(2),34(2),34(2),,,58(2),96(2)
AIQ,GEN,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,105(2),105(2),105(2),,,117(3),117(3),117(3),,,98(2),98(2)
AIQ,EWS,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,112(1),112(1),112(1),,,66(1),264(1),405(1),,,99(1),99(1)
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,119(3),157(3),170(3),,,142(4),142(4),142(4),,,83(3),107(3)
AIQ,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,41(4),41(4),41(4),,,31(3),31(3),31(3),,,60(5),108(5)
AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,545(2),982(2),982(2),,,563(3),1341(3),1434(3),,,114(1),114(1)
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,75(1),84(1),84(1),,,53(1),53(1),53(1),,,108(1),116(1)
AIQ,GEN,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,321(1),321(1),321(1),,,202(3),494(3),494(3),,,118(2),118(2)
AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,94(4),120(4),120(4),,,106(4),106(4),106(4),,,119(3),119(3)
AIQ,GEN,Delhi,"MAMC, Delhi",GENERAL SURGERY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,199(3),199(3),332(3),,,315(3),315(3),857(3),,,123(2),123(2)
AIQ,GEN,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,173(4),283(4),283(4),,,127(3),127(3),127(3),,,125(4),125(4)
AIQ,EWS,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,476(1),476(1),476(1),,,,,,,,127(1),127(1)
AIQ,GEN,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,138(5),138(5),138(5),,,148(4),643(4),642(4),,,129(3),129(3)
DU,GEN,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,162(3),162(3),162(3),,,165(4),165(4),126(4),,,141(4),141(4)
AIQ,GEN,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,,,,,,108(1),108(1),108(1),,,142(2),142(2)
AIQ,OBC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,314(2),324(2),324(2),,,183(1),183(1),183(1),,,133(2),143(2)
AIQ,OBC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,362(2),362(2),362(2),,,419(2),419(2),453(2),,,151(2),151(2)
AIQ,SC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,240(1),240(1),240(1),,,1950(1),1950(1),1950(1),,,157(1),157(1)
AIQ,GEN,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹34,500*","₹1,09,926*",0,₹0,967,259(1),259(1),259(1),,,216(1),216(1),216(1),,,107(1),161(1)
AIQ,EWS,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,,,,,,205(1),205(1),205(1),,,163(1),163(1)
AIQ,GEN,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,117(2),122(2),122(2),,,150(4),166(4),324(4),,,164(1),164(1)
AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,"₹48,226*","₹1,12,054*",0,₹0,1165,160(4),195(4),195(4),,,178(3),260(3),260(3),,,176(5),176(5)
AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,269(2),269(2),269(2),,,173(3),173(3),173(3),,,178(2),178(2)
AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,1165,159(2),159(2),159(2),,,102(1),102(1),102(1),,,179(2),179(2)
AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,219(4),280(4),280(4),,,130(3),134(3),134(3),,,145(3),187(3)
AIQ,OBC,Kerala,"Govt Med Coll, Thrissur",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,505(1),851(1),686(1),,,494(1),600(1),600(1),,,189(1),189(1)
AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,1165,470(2),481(2),481(2),,,228(1),228(1),228(1),,,190(1),190(1)
AIQ,GEN,Bihar,"Patna Med Coll, Patna",RADIO DIAGNOSIS,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,,,,,,,,,,,191(1),191(1)
AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,220(3),220(3),220(3),,,792(3),792(3),792(3),,,195(3),195(3)
AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",RADIO DIAGNOSIS,"₹48,226*","₹1,12,054*",0,₹0,1165,473(1),577(1),577(1),,,279(1),279(1),279(1),,,196(1),196(1)
AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,426(1),426(1),426(1),,,433(1),433(1),433(1),,,197(1),197(1)
AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,165(3),165(3),165(3),,,201(3),201(3),545(3),,,201(2),201(2)
AIQ,GEN,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,387(6),465(6),465(6),,,221(4),208(4),208(4),,,203(4),203(4)
AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹34,500*","₹1,09,926*",0,₹0,967,504(1),762(1),762(1),,,256(2),256(2),256(2),,,207(1),207(1)
AIQ,EWS,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,366(1),366(1),366(1),,,405(1),405(1),585(1),,,208(1),208(1)
AIQ,GEN,Goa,"Goa Med Coll, Panaji",ORTHOPAEDICS,"₹1,22,522*","₹80,000*",1*,"₹50,00,000*",1160,,,,,,,,,,,212(1),212(1)
AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",3025,442(1),442(1),442(1),,,806(1),806(1),806(1),,,223(1),223(1)
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,339(5),339(5),438(5),,,263(6),263(6),263(6),,,228(6),229(6)
AIQ,EWS,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,301(1),509(1),509(1),,,194(1),194(1),194(1),,,239(1),239(1)
AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,364(2),364(2),364(2),,,226(3),247(3),247(3),,,241(2),241(2)
AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,166(2),166(2),166(2),,,234(1),234(1),333(1),,,249(2),249(2)
AIQ,GEN,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,312(6),458(6),458(6),,,275(6),378(6),378(6),,,170(5),252(5)
AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,140(1),503(1),723(3),4240(1),,724(3),1115(3),1115(3),1192(1),6631(1),255(1),255(1)
AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,346(2),346(2),346(2),,,225(1),225(1),225(1),,,266(1),266(1)
IP,GEN,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,300(4),300(4),300(4),,,180(5),180(5),180(5),,,273(5),273(5)
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,634(1),634(1),634(1),,,113(2),113(2),113(2),,,275(1),275(1)
AIQ,GEN,Kerala,"Medical College, Trivandrum",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,605(1),294(1),1658(1),,,,,,,,282(2),282(2)
AIQ,OBC,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,374(1),374(1),374(1),,,212(1),212(1),212(1),,,283(1),283(1)
AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,,,,,,517(1),517(1),517(1),,,293(1),293(1)
DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,453(4),453(4),453(4),,,356(5),383(5),383(5),,,296(5),296(5)
AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,,,,,,726(1),1091(1),1091(1),,,302(1),302(1)
AIQ,GEN,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,229(3),229(3),229(3),,,50(2),50(2),73(2),,,156(4),307(4)
AIQ,GEN,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹61,634",3*,"₹30,00,000*",2300,222(2),222(2),222(2),,,144(2),144(2),144(2),,,309(2),309(2)
AIQ,GEN,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,421(6),448(6),448(6),,,206(5),206(5),206(5),,,289(6),317(6)
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",OBG,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,862(3),1238(3),1238(3),,,603(5),603(5),1132(5),,,324(2),324(2)
AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,"₹16,300*","₹96,000*",0,₹0,594,508(1),524(1),732(1),,,447(1),447(1),469(1),,,297(1),326(1)
AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,132(2),185(2),185(2),,,89(3),189(3),242(3),,,209(3),329(3)
AIQ,EWS,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,,,,,,483(1),483(1),483(1),,,334(1),334(1)
AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",GENERAL MEDICINE,"₹48,226*","₹1,12,054*",0,₹0,1165,,,,,,187(1),187(1),552(1),,,335(1),335(1)
AIQ,OBC,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,564(2),576(2),529(2),,,,,,,,383(2),337(2)
AIQ,GEN,Delhi,"VMMC, Delhi",ORTHOPAEDICS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,518(4),871(4),1245(4),,,607(3),607(3),607(3),,,339(3),339(3)
AIQ,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,97(1),198(1),79(1),,,79(1),79(1),82(1),,,187(4),341(4)
AIQ,OBC,Karnataka,"Bangalore Med Coll, Bangalore",DERMATOLOGY,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1993,1044(1),1044(1),1044(1),,,914(1),911(1),1724(1),,,344(1),344(1)
AIQ,GEN,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,89(1),89(1),89(1),,,135(3),135(3),135(3),,,104(2),347(2)
AIQ,GEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",1300,231(3),361(3),361(3),,,290(3),362(3),362(3),,,294(3),348(3)
AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,146(3),146(3),146(3),,,258(3),258(3),258(3),,,322(5),349(5)
AIQ,OBC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,1190(4),1190(4),1283(4),,,736(3),978(3),1299(3),,,356(3),356(3)
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,,,,,,245(2),245(2),245(2),,,359(1),359(1)
AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,238(4),343(4),467(4),,,268(4),319(4),504(4),,,357(3),360(3)
AIQ,OBC,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",714,,,,,,244(1),292(1),292(1),,,,361(1)
AIQ,OBC,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,204(5),204(5),204(5),,,266(5),266(5),266(5),,,265(5),370(5)
AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",GENERAL MEDICINE,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,,,,,,858(1),1064(1),1065(1),,,372(1),372(1)
AIQ,GEN,Kerala,"TD Med Coll, Allepey",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,393(1),393(1),393(1),,,,,,,,377(2),377(2)
AIQ,OBC,Bihar,"IGIMS, Patna",RADIO DIAGNOSIS,"₹1,60,000*","₹1,22,878*",0,₹0,1170,867(1),1712(1),1712(1),,,597(1),597(1),597(1),,,380(1),380(1)
AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹15,000*","₹67,032",1,"₹20,00,000",4800,405(3),405(3),405(3),,,333(3),272(3),526(3),,,381(3),381(3)
AIQ,OBC,Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,15,506",2*,"₹40,00,000*",1609,607(1),607(1),607(1),,,,,,,,343(1),383(2)
AIQ,EWS,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹47,220*","₹1,32,336*",1,"₹20,00,000",1000,218(1),218(1),218(1),,,,,,,,390(1),390(1)
AIQ,GEN,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,"₹48,226*","₹1,12,054*",0,₹0,1165,388(2),418(2),418(2),,,295(1),538(1),538(1),,,392(2),392(2)
AIQ,GEN,Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,"₹54,700*","₹1,14,975*",0,₹0,1269,152(2),152(2),152(2),,,324(2),329(2),481(2),,,326(2),393(2)
AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,14(1),14(1),14(1),,,,,,,,364(3),394(3)
AIQ,OBC,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,481(1),820(1),1134(1),,,467(2),630(2),630(2),,,218(1),395(1)
AIQ,OBC,Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",3101,1175(1),2156(1),1207(1),,,721(1),721(1),721(1),,,397(1),397(1)
AIQ,GEN,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,516(3),1095(3),1095(3),,,374(3),374(3),502(3),,,398(2),398(2)
AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",RADIO DIAGNOSIS,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,,,,,,404(1),404(1),404(1),,,400(1),400(1)
AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,485(2),606(2),606(2),,,352(2),425(2),425(2),,,402(1),402(1)
AIQ,OBC,Maharashtra,"Seth GS, Mumbai",DERMATOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",2250,841(1),841(1),841(1),,,702(1),702(1),702(1),,,405(1),405(1)
AIQ,GEN,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,549(4),549(4),549(4),,,659(5),1139(5),1139(5),,,407(6),407(6)
AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,409(2),409(2),409(2),,,280(2),413(2),413(2),,,409(2),409(2)
AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,225(2),421(2),421(2),,,146(1),295(1),249(1),,,274(2),410(2)
AIQ,ST,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,"₹15,000*","₹1,20,965*",1,"₹20,00,000",1550,3300(1),3300(1),3300(1),,,,,,,,411(1),411(1)
AIQ,GEN,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,292(2),482(2),243(2),,,143(1),143(1),143(1),,,410(1),414(1)
AIQ,GEN,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,09,926*",0,₹0,967,,,,,,,,,,,394(1),417(1)
AIQ,GEN,Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,,,,,,753(1),1070(1),592(1),2099(1),,422(1),422(1)
AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹14,093*","₹87,216*",2,"₹1,50,00,000",5702,537(1),804(1),804(1),,,357(1),357(1),357(1),,,423(1),423(1)
DU,GEN,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,211(5),211(5),211(5),,,103(4),103(4),111(4),,,427(5),427(5)
DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,"₹1,25,000","₹92,000",0,₹0,737,369(3),440(3),440(3),,,300(3),324(3),317(3),,,384(3),428(3)
AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,"₹48,226*","₹1,12,054*",0,₹0,1165,682(1),682(1),682(1),,,976(1),976(1),976(1),,,432(1),432(1)
AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,443(3),810(3),858(3),,,372(2),784(2),784(2),,,200(3),443(3)
AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,428(4),332(4),587(4),,,479(3),823(3),823(3),,,419(5),456(5)
AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹15,000*","₹67,032",1,"₹20,00,000",4800,901(2),847(2),901(2),,,740(1),485(1),485(1),,,463(1),463(1)
AIQ,GEN,Karnataka,"Mysore Med Coll, Mysore",RADIO DIAGNOSIS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050,572(3),728(3),575(3),,,294(2),336(2),443(2),,,462(1),472(2)
AIQ,EWS,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,378(1),378(1),378(1),,,552(2),552(2),1084(2),,,473(2),473(2)
AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,,,,,,,,,,,184(1),476(1)
AIQ,SC,Chandigarh,"GMC, Chandigarh",DERMATOLOGY,"₹34,500*","₹1,09,926*",0,₹0,967,3088(1),3088(1),3088(1),,,2866(1),2866(1),2866(1),,,477(1),477(1)
AIQ,GEN,Kerala,"TD Med Coll, Allepey",DERMATOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,,,,,,1070(1),1207(1),1207(1),,,482(1),482(1)
DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹92,000",0,₹0,737,766(6),1632(6),1632(6),,,861(6),738(6),890(6),,,475(6),484(6)
AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,283(4),580(4),792(4),,,482(4),482(4),522(4),,,333(3),486(3)
DU,GEN,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,500(2),500(2),500(2),,,111(1),111(1),163(1),,,491(1),491(1)
AIQ,EWS,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,,,,,,,,,,,492(1),492(1)
AIQ,GEN,Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,"₹1,25,000*","₹1,04,346*",0*,₹0*,2080,195(2),370(2),563(2),,,487(5),649(5),791(5),3667(1),,498(3),498(3)
