Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2
AIQ,SC,Maharashtra,"Govt Med Coll, Jalgaon",ANAESTHESIOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",441,,,,,,36530(1),38138(1),45959(1),,,,
AIQ,GEN,Gujarat,"Govt Med Coll, Surat",IHBT,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,24984(1),42026(1),42026(1),,,19605(1),33316(1),45981(1),,,,
DU,ST,Delhi,"Lady Hardinge, Delhi",ENT,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,,,,,,45995(1),45995(1),45995(1),,,,
AIQ,GEN,Kerala,"Govt Med Coll, Kottayam",MICROBIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2094,29126(1),40726(1),46014(1),,,31906(1),40757(1),45622(1),,,,
NBE Diploma,SC,West Bengal,"Imambara Dist Hospital,Hooghly",DGO(NBEMS),"₹1,25,000","₹61,634",0,₹0,650,,,,,,45790(1),46020(1),46020(1),,,,
NBE Diploma,GEN,Odisha,"Capital Hospital, Bhubaneswar",DFAM(NBEMS),"₹1,25,000","₹70,868",2*,"₹35,89,488*",647,20586(1),46023(1),46023(1),,,,,,,,,
NBE Diploma,GEN,Haryana,"BPS Med Coll, Sonepat",DFAM(NBEMS),"₹1,25,000","₹1,04,346",0*,₹0*,550,42775(2),46028(2),46028(2),,,32394(1),36357(1),36357(1),,,,
AIQ,OBC,Haryana,"SHKM, Nalhar",PATHOLOGY,"₹1,25,000*","₹1,04,346*",0*,₹0*,500,31591(1),34078(1),34078(1),,,36884(1),36884(1),42992(1),46044(1),,,
NBE Diploma,GEN,Karnataka,"Rangadore Mem Hosp, Bangalore",DFAM(NBEMS),"₹1,25,000","₹56,250*",0,₹0,210,36529(1),35921(1),35921(1),,,40839(1),44471(1),46047(1),,,,
NBE Diploma,GEN,Telangana,"Ekashilaa Hosp, Warangal",DA(NBEMS),"₹1,25,000","₹60,000*",0,₹0,200,45538(2),44977(2),46080(2),,,41622(2),43963(2),39464(2),,,,
MNG,GEN,Delhi,"Hamdard Institute, Delhi",ANAESTHESIOLOGY,-,-,-,-,710,34594(2),40530(2),40530(2),,,29795(2),46113(2),46113(2),,,,
NBE Diploma,OBC,Andhra Pradesh,"Govt Dist Hosp,Vizianagaram",DA(NBEMS),"₹1,25,000","₹60,823*",0,₹0,430,37310(1),42102(1),43410(1),,,45117(1),46122(1),46122(1),,,,
AIQ,GEN,Maharashtra,"Govt Med Coll, Jalgaon",PATHOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",441,31878(1),38208(1),46149(1),,,,,,,,,
NBE Diploma,SC,Gujarat,"General Hospital, Morbi",DCH(NBEMS),"₹1,25,000","₹75,600",0,₹0,374,45464(1),44514(1),46162(1),,,,,,,,,
AIQ,SC,Telangana,"Kakatiya Med Coll, Warangal",ENT,"₹15,000*","₹67,032",1,"₹20,00,000",1150,,,,,,32405(1),34786(1),46195(1),,,,
NBE Diploma,ST,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DMRD(NBEMS),"₹1,25,000","₹80,757",0*,₹0*,940,,,,,,31325(1),36398(1),46209(1),,,,
NBE Diploma,GEN,Andhra Pradesh,"Krishna IMS, Nellore",DA(NBEMS),-,-,-,-,250,44908(2),46264(2),46264(2),,,,,,,,,
AIQ,SC,Assam,"Silchar Med Coll, Silchar",PSYCHIATRY,"₹25,900*","₹55,200*",2*,"₹20,00,000*",1256,33521(1),40656(1),40656(1),,,40238(1),42023(1),46305(1),,,,
NBE Diploma,SC,Rajasthan,"District Hospital, Dholpur",DGO(NBEMS),"₹1,25,000","₹62,388",0,₹0,Info Not Available,46313(1),46313(1),46313(1),,,,,,,,,
NBE Diploma,GEN,Madhya Pradesh,"District Hospital, Ratlam, MP",DA(NBEMS),"₹1,25,000","₹75,444",3*,"₹20,00,000*",Info Not Available,,,,,,43901(1),46442(1),46442(1),,,,
AIQ,EWS,Delhi,"MAMC, Delhi",PHARMACOLOGY,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,,,,,,46445(1),46445(1),46445(1),,,,
AIQ,EWS,Kerala,"Medical College, Trivandrum",PATHOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,46451(1),46451(1),46451(1),,,,,,,,,
AIQ,SC,Gujarat,"Medical College, Baroda",ENT,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,,,,,,27110(1),31908(1),37461(1),46495(1),,,
AIQ,OBC,Karnataka,"Mysore Med Coll, Mysore",SPM,"₹68,400*","₹56,250",1*,"₹50,00,000*",1050,,,,,,33051(1),36320(1),46498(1),,,,
NBE Diploma,OBC,Bihar,"Central SS Hosp, Patna",DFAM(NBEMS),"₹1,25,000","₹82,000",0,₹0,Info Not Available,,,,,,,,46523(1),,,,
NBE Diploma,SC,Dadra and Nagar Haveli,"VinobaBhaveCivilHosp, Silvassa",DFAM(NBEMS),"₹1,25,000","₹35,000",1,"₹10,00,000",316,,,,,,46528(1),46528(1),46528(1),,,,
AIQ,GEN,West Bengal,"NBMC, Darjeeling",SPM,"₹12,000*","₹61,634",3*,"₹30,00,000*",843,46544(1),46544(1),46544(1),,,,,,,,,
AIQ,OBC,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",PATHOLOGY,"₹7,00,000*","₹43,000",3,"₹50,00,000",650,,,,,,,41910(1),46716(1),,,,
NBE Diploma,GEN,Delhi,"Venkateshwar Hospital, Delhi",DFAM(NBEMS),"₹1,25,000","₹60,000",0,₹0,305,38610(1),38117(1),44468(1),40561(1),,38922(1),42851(1),46739(1),,,,
AIQ,SC,Maharashtra,"Govt Med Coll, Nanded",PSYCHIATRY,"₹1,57,100*","₹93,559",1,"₹50,00,000",750,,,,,,33974(1),34244(1),43282(1),46761(1),,,
AIQ,OBC,Gujarat,"Medical College, Baroda",PHARMACOLOGY,"₹30,000*","₹1,00,800",0*,₹0*,1250,42164(1),42976(1),43883(1),,,40412(1),46789(1),46789(1),,,,
AIQ,SC,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",ANAESTHESIOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",500,37853(1),40807(1),46833(1),,,37405(1),40629(1),44283(1),,,,
AIQ,ST,Maharashtra,"Grant Med Coll, Mumbai",ENT,"₹1,57,100*","₹93,559",1,"₹50,00,000",2844,46834(1),46834(1),46834(1),,,,,,,,,
NBE Diploma,SC,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DTBCD(NBEMS),"₹1,25,000","₹80,757",0*,₹0*,940,43844(1),45104(1),45104(1),,,33094(1),43239(1),46834(1),,,,
AIQ,ST,Haryana,"ESIC Med Coll, Faridabad",PAEDIATRICS,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,,,46842(1),,,,,,,,,
DNB Post MBBS,SC,West Bengal,"Walsh SDH, Serampore,Hooghly,WB",DNBOBG,"₹1,25,000","₹61,634",0,₹0,500,32325(1),34877(1),37045(1),46872(1),45190(1),,,,,,,
NBE Diploma,GEN,Dadra and Nagar Haveli,"VinobaBhaveCivilHosp, Silvassa",DLO(NBEMS),"₹1,25,000","₹35,000",1,"₹10,00,000",316,,,,,,19952(1),37756(1),46929(2),33451(1),,,
NBE Diploma,GEN,Odisha,"FakirMohanMed,Balasore,Odisha",DLO(NBEMS),"₹1,25,000","₹70,686",2*,"₹35,89,488*",360,,,,,,29327(1),46950(1),38492(1),39523(1),,,
AIQ,OBC,Telangana,"NIMS, Hyderabad",MICROBIOLOGY,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,,,,,,46956(1),46956(1),46956(1),,,,
AIQ,SC,Maharashtra,"Govt Med Coll, Latur",ANAESTHESIOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",750,,,43448(1),,,,,46957(1),,,,
AIQ,ST,Bihar,"IGIMS, Patna",OBG,"₹1,60,000*","₹1,22,878*",0,₹0,1170,39276(1),40529(1),46968(1),,,,,,,,,
AIQ,OBC,Karnataka,"Koppal Inst of MS, Koppal",PATHOLOGY,"₹68,400*","₹56,250",1*,"₹50,00,000*",Info Not Available,,,,,,36906(1),40138(1),46971(1),45677(1),,,
AIQ,ST,Karnataka,"Koppal Inst of MS, Koppal",PAEDIATRICS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",Info Not Available,,,,,,29111(1),29111(1),46995(1),,,,
AIQ,SC,Tripura,"Agartala Med Coll, Agartala",PSYCHIATRY,"₹1,50,000*","₹55,200",1*,"₹50,00,000*",580,32477(1),41837(1),47024(1),,,,,,,,,
DNB Post MBBS,GEN,Punjab,"Punjab Inst of MS, Jalandhar",DNBIHBT,"₹1,25,000","₹67,968*",0,₹0,750,41201(1),47026(1),42055(1),,,,,,,,,
NBE Diploma,OBC,Uttar Pradesh,"AutonomousStateMC,Rampur",DA(NBEMS),"₹1,25,000","₹1,10,646",0*,₹0*,Info Not Available,47066(1),47066(1),47066(1),,,,,,,,,
AIQ,SC,Chhattisgarh,"Govt Med Coll, Rajnandgaon",ENT,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,,,,,,37224(1),41297(1),47102(1),,,,
AIQ,SC,Maharashtra,"Govt Med Coll, Akola",ANAESTHESIOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",946,35425(1),39719(1),44497(1),,,37115(1),39721(1),47116(1),,,,
AIQ,EWS,Maharashtra,"Govt Med Coll, Gondia",PATHOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",500,,,,,,33010(1),47117(1),44519(1),,,,
IP,ST,Delhi,"ABVIMS (Dr RML Hosp), Delhi",ORTHOPAEDICS,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,,,,,,47129(1),47129(1),47129(1),,,,
NBE Diploma,SC,Maharashtra,"Daga Mem Women Hosp, Nagpur",DGO(NBEMS),"₹1,25,000","₹74,500",1,"₹50,00,000",Info Not Available,41342(1),43844(1),47141(1),,,44409(1),44409(1),44409(1),,,,
NBE Diploma,SC,Rajasthan,"Govt MedColl Hosp,RamasiyaPali",DGO(NBEMS),"₹1,25,000","₹62,388",0,₹0,Info Not Available,35268(1),47151(1),47151(1),,,,,,,,,
AIQ,OBC,Tripura,"Agartala Med Coll, Agartala",PATHOLOGY,"₹1,50,000*","₹55,200",1*,"₹35,00,000*",580,,,,,,28831(1),28831(1),47152(1),38950(1),,,
AIQ,ST,West Bengal,Burdwan Medical College,PAEDIATRICS,"₹12,000*","₹61,634",3*,"₹30,00,000*",1099,,,,,,37733(1),47155(1),47155(1),,,,
DNB Post MBBS,SC,Bihar,"BiharStateInstMentHealt,Koilwar",DNBPSYCHIATRY,"₹1,25,000","₹82,000",2*,"₹25,00,000*",180,,,,,,46305(1),46206(1),47159(1),,,,
AIQ,ST,Rajasthan,"JLNMC, Ajmer",ORTHOPAEDICS,"₹14,093*","₹87,216*",2,"₹1,00,00,000",1428,45213(1),46358(1),46358(1),,,,,47160(1),,,,
AIQ,SC,Gujarat,"Govt Med Coll, Surat",ENT,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,29602(1),34233(1),39964(1),47165(1),,,,,,,,
AIQ,SC,Rajasthan,"JLNMC, Ajmer",OPHTHALMOLOGY,"₹14,093*","₹87,216*",2,"₹1,00,00,000",1428,31855(1),33843(1),33843(1),47171(1),,27645(1),31732(1),31732(1),,,,
NBE Diploma,SC,Karnataka,"Sir CVRaman Gen Hos, Bangalore",DGO(NBEMS),"₹1,25,000","₹56,250*",1,"₹20,00,000",Info Not Available,,,,,,45737(1),44934(1),47287(1),,,,
AIQ,SC,West Bengal,"College of Med & JNM, Kalyani",ANAESTHESIOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",450,38041(1),43272(1),47302(1),,,,,,,,,
AIQ,SC,Uttar Pradesh,"SN Med Coll, Agra",RADIATION ONCOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",976,,,,,,35137(1),22601(1),47303(1),,,,
AIQ,SC,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",ANAESTHESIOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,,,,,,,,47351(1),,,,
AIQ,OBC,Delhi,"ESI, Basaidarpur, Delhi",PATHOLOGY,"₹2,50,000*","₹1,30,846*",2*,"₹10,00,000*",600,,,,34681(1),47360(1),,,,,,,
AIQ,ST,Maharashtra,"Govt Med Coll, Nanded",OBG,"₹1,57,100*","₹93,559",1,"₹50,00,000",750,34357(1),37175(1),37175(1),,,31005(1),43367(1),47369(1),,,,
AIQ,GEN,Tamil Nadu,"KAPV Med Coll, Trichy",BIOCHEMISTRY,"₹50,000*","₹54,025*",2*,"₹40,00,000*",2500,45064(2),47378(2),47378(2),,,,,,,,,
AIQ,ST,Karnataka,"Mysore Med Coll, Mysore",ORTHOPAEDICS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",1050,,,,,,25733(1),47393(1),47393(1),,,,
NBE Diploma,SC,Maharashtra,"District Hospital, Bhandara, MH",DGO(NBEMS),"₹1,25,000","₹74,500",1,"₹50,00,000",500,41898(1),47398(1),40004(1),,,,,,,,,
NBE Diploma,SC,Andhra Pradesh,"District Hospital, Markapur, AP",DGO(NBEMS),"₹1,25,000","₹60,823",0,₹0,Info Not Available,,40906(1),47398(1),,,,,,,,,
AIQ,ST,Jammu and Kashmir,"Govt Med Coll, Jammu",ORTHOPAEDICS,"₹25,000*","₹63,240",0*,₹0*,2663,44692(1),44692(1),47434(1),,,25385(1),25385(1),25385(1),,,,
NBE Diploma,EWS,Tripura,"IGM Hospital, Agartala",DCH(NBEMS),"₹1,25,000","₹43,000*",Info Not Available,Info not available,608,33020(1),40597(1),47436(1),,,,,,,,,
AIQ,ST,Jammu and Kashmir,"Govt Med Coll, Srinagar",TBRD,"₹32,500*","₹63,240",0*,₹0*,3120,32931(1),47442(1),47442(1),,,,,,,,,
AIQ,ST,West Bengal,"NBMC, Darjeeling",OBG,"₹12,000*","₹61,634",3*,"₹30,00,000*",843,,,,,,46610(1),47471(1),47471(1),,,,
DNB Post MBBS,SC,Karnataka,"K C Gen Hospital, Bangalore",DNBANAESTHESIOLOGY,"₹1,25,000","₹56,250*",1,"₹20,00,000",503,,,,,,42570(1),42570(1),47484(1),,,,
